sid,bsr_max,bsr_n,fact_max,inst_max,q_pending,q_failed
00637L,,0,,2026-08-07,0,0
039108,,0,,2026-05-04,0,0
053848,,0,,2026-08-04,0,0
1503,2026-07-31,501,2026-07-31,2026-08-07,0,0
1717,2026-07-31,1486,2026-07-31,2026-08-07,0,0
2308,2026-08-05,7298,2026-08-05,2026-08-07,2,0
2313,2026-08-03,7220,2026-08-03,2026-08-07,0,0
2543,2026-08-05,1146,2026-08-05,2026-08-07,0,2
3006,2026-08-07,66281,2026-08-07,2026-08-07,0,5
3013,2026-08-05,4931,2026-08-05,2026-08-07,2,0
3017,2026-07-31,2290,2026-07-31,2026-08-07,0,0
3231,2026-08-05,10599,2026-08-05,2026-08-07,2,0
3443,2026-08-07,6328,2026-08-07,2026-08-07,1,1
3491,2026-08-07,6334,2026-08-07,2026-08-07,1,1
4583,2026-07-24,566,2026-07-24,2026-08-07,0,0
6274,2026-08-04,6429,2026-08-04,2026-08-07,3,0
6770,2026-08-05,4071,2026-08-05,2026-08-07,0,0
6862,,0,,2026-08-07,1,1
702157,,0,,2026-07-28,0,0
8227,2026-08-07,2265,2026-08-07,2026-08-07,0,0
