id,teacher,instrument,status,quantity,quantity_unit,entry_price,exit_price,pnl_percent,created_at
d73f5be4-62ca-4871-9195-45f97a56ca23,sharkgu,8028 昇陽半導體,open,500,股,266,,-0.38,2026-08-14 02:44:45.193948+00
040ebbfc-2810-462d-805d-232d5e41f37d,sharkgu,2478 大毅,open,1000,張,130,,-3.85,2026-08-14 02:44:45.193948+00
20379156-37fd-4a0c-a757-56cd2c292bbb,sharkgu,6515 穎崴,closed,50,股,6341.80,6885,8.57,2026-08-14 02:38:59.710306+00
c0cf1c9a-db60-4220-9b66-919961f986c4,master-zhou,SOXL,open,1,股,149.73,,-3.19,2026-08-14 00:35:00.927982+00
73c5cf08-097f-4b81-b3ec-c67efb050179,master-zhou,ORCL,open,10,股,152.12,,-1.05,2026-08-13 02:46:48.402153+00
8f1e4762-3734-4fe9-87c7-d673d7a29222,master-brcto,078397 同欣電富邦64購02,open,50000,張,1.01,,1.98,2026-08-12 01:26:45.24025+00
ccd84ef4-beea-4c8f-a17a-910c5e6661c0,sharkgu,3163 波若威,open,300,股,702,,4.42,2026-08-12 01:15:54.618573+00
18877dc5-73f5-49fe-984f-2b7984a0160a,master-brcto,079052 樺漢元大64購03,open,50000,張,1.67,,-27.54,2026-08-10 01:40:33.088323+00
54babfe9-2a1a-4040-b280-ef55ba83d66e,benny,WDC,open,10,股,460.1,,10.58,2026-08-07 00:56:34.625856+00
c7dd514b-6c52-4d2d-ad7e-4b024636bb66,master-zhou,AMD Advanced Micro Devices Inc,open,15,股,484.5,,6.17,2026-08-07 00:45:41.975807+00
0a2ebbba-680b-48c4-98cb-c5c3df7cce4e,sharkgu,6138 茂達,open,1000,張,287,,1.39,2026-08-06 03:12:28.94582+00
c5b502d0-8a67-49aa-958b-63d1d71cc0b5,sharkgu,8299 群聯,open,100,股,1815,,14.88,2026-08-04 02:08:54.322813+00
371e1650-35b9-4c54-a48c-24ac33f1fc7d,benny,SPCX Space Exploration Technologies Corp,open,50,股,109.9,,27.39,2026-08-04 01:07:37.582362+00
7af15eb9-efcb-431e-b4bd-2510d30bfcdb,master-zhou,PLTR,closed,30,股,124.82,156.43,25.32,2026-08-04 00:38:48.790686+00
3dd0fa50-6152-4a0d-8a97-061bebe977bc,master-brcto,074183 統新台新61購01,closed,30000,張,0.81,1.28,58.02,2026-08-03 03:23:32.730648+00
908c7533-2180-4355-8eca-6a0b1ef3ce5c,sharkgu,3363 上詮,closed,200,股,535.86,528,-1.47,2026-08-03 01:35:18.747283+00
4899b17b-22c2-40e5-9b73-44606d1793b9,master-zhou,VRT,closed,15,股,227.2,273.3,20.29,2026-07-31 00:13:08.445788+00
e6ac4a56-db38-45c4-a6cc-6809434cb9a1,master-zhou,META Meta Platforms Inc,closed,10,股,530.3,593.89,11.99,2026-07-31 00:13:08.445788+00
2e1e79e4-caa2-4f95-a94e-4bc0438f1efe,master-brcto,707414 前鼎統一74購01,closed,50000,張,0.49,0.76,55.10,2026-07-30 03:53:02.602277+00
0403a5bd-e220-4f51-89e3-225621cec89f,sharkgu,6285 啟碁,closed,500,股,251.75,221,-12.21,2026-07-29 01:24:44.438107+00
094c7df5-5715-44b4-a293-098393639408,master-lever,RKLB 57.5/47.5P + 77.5/87.5C,open,1,組,6.40,,1153.91,2026-07-28 15:14:58.530928+00
